simulation_id,schedule_delay_months,capex_multiplier,utilization_multiplier,power_cost_multiplier,price_multiplier,debt_rate_shift_bps,total_capex_usd,portfolio_unlevered_npv_usd,total_ebitda_usd,incremental_funding_required_usd,minimum_cash_pre_support_usd,latest_ready_for_service,npv_positive
51,8.437580530105453,1.0340927128890312,0.9202445731821046,1.0735989891883273,1.0113284020667215,118.22410944913096,4493132837.50284,460715250.8443799,1054886543.9770643,332114059.37425554,-282114059.37425554,2029-12-01,True
52,4.721666607307618,1.135802961928468,0.8611788091360147,1.0079143398810633,0.9757266616739768,108.52316231051995,4935063869.579193,-392018826.7827914,1055425986.9197537,515584289.35236394,-465584289.35236394,2029-09-01,False
53,3.608866396753547,1.0824911114382025,0.8855480451319293,1.0439584225814051,0.9674801374978086,172.7271440563856,4703423879.19899,-144930525.60261464,1119439580.6009202,468007178.18400955,-418007178.18400955,2029-08-01,False
54,4.078442987110337,1.238149962961268,1.0015791064528936,1.0679880655684162,0.9627720834452408,134.46225152656046,5379761589.0667095,-116141264.19802582,1299314741.2317696,512971569.47163963,-462971569.47163963,2029-08-01,False
55,9.395487911657462,1.138796814776803,0.9706646015301927,1.076798191602382,0.9879164684260795,81.48892292108755,4948072160.20521,205913710.32130003,1033591924.0399715,392045758.63257146,-342045758.63257146,2030-01-01,True
56,7.907795368131559,1.0508741294292787,0.9484104111298671,1.150898860246212,0.939814997772429,153.62783815976354,4566048092.370215,71852909.5846039,956699508.0424719,404166568.6296303,-354166568.6296303,2029-12-01,True
57,2.3076745656344912,1.1567642816707464,0.7994990111133422,1.179572935649129,0.9406065901111338,285.8753135750984,5026140803.859392,-1120975947.6796994,979202815.5366558,810827364.142445,-760827364.142445,2029-06-01,False
58,8.720206883969176,1.1256653044689133,0.9658249686428803,1.1319331032278428,1.0261942057385596,73.30045105493829,4891015747.917428,430762527.26500964,1083780752.020258,358107919.25380486,-308107919.25380486,2030-01-01,True
59,6.424422487371889,1.0222736482039358,0.9346839406238954,1.015183861533324,0.982412881556177,143.2224659286821,4441779001.446101,454474681.5505972,1137026024.454733,339079367.9186134,-289079367.9186134,2029-10-01,True
60,5.353493272851274,1.1110366617790148,0.9618576254223936,1.1330278019352122,0.9768494540442881,149.89838619406694,4827454295.429819,182570542.53166628,1198271730.0631504,411885838.4905738,-361885838.4905738,2029-09-01,True
61,10.897271039329128,1.0298937079488977,0.8135913817043442,0.9937996040232208,0.9900630705902075,108.8793457188662,4474888161.03796,-254623520.03620517,746410682.7451749,413281067.63402086,-363281067.63402086,2030-03-01,False
62,8.379056863822411,1.1431819835461585,0.8779750117042319,1.1638875384684448,1.0000659188954262,77.40524500431897,4967125718.508059,-264584049.4828174,959188944.7910831,469679087.5985793,-419679087.5985793,2029-12-01,False
63,4.565323666817582,1.0732658430080928,0.8285787793132248,1.0098344563513766,1.0241028643561747,112.9143693090518,4663340087.870163,-81462499.00099432,1087309799.806874,416184950.04829437,-366184950.04829437,2029-09-01,False
64,4.7083249727962055,1.1578046801370308,0.9233811232167748,1.1796674155185802,1.001970484970683,121.82672464211333,5030661335.195398,-64826954.46343553,1176467096.8220973,458483716.2389765,-408483716.2389765,2029-09-01,False
65,4.656035439242915,1.2683778489083886,0.9526902503448482,1.1872562384752372,0.937706006505655,227.7435806146698,5511101753.5069475,-700243336.4254296,1094053113.3482375,718565465.0567169,-668565465.0567169,2029-09-01,False
66,6.871910758048063,1.0305294582147955,0.9297658179916302,1.1062371232778339,0.9121504004322176,116.40161855050164,4477650495.943285,-89545857.29928243,935260747.8486739,413119466.3104832,-363119466.3104832,2029-11-01,False
67,9.055905701494455,1.0697754445859313,0.9052009625205323,1.0617078387670111,0.9601924305648966,259.6904742098344,4648174306.725871,-50302990.53117263,900915714.9609799,475226876.5275681,-425226876.5275681,2030-01-01,False
68,8.466571131785665,1.0271714758557626,1.049000638190012,1.1570204928041958,0.9583686667174133,222.2880505437875,4463060062.593288,785946242.6901884,1127277376.8774827,338960690.54626954,-288960690.54626954,2029-12-01,True
69,2.441207444032039,1.2918167145640063,0.9432093207192744,1.0987807587007048,0.9329437205520201,248.5275401385308,5612943624.780607,-856139417.5640677,1227830481.171228,790344116.7498585,-740344116.7498585,2029-06-01,False
70,1.274351670242672,1.0591250965602497,0.8234313118086796,1.1271982829007308,0.9487693625809768,255.4686438957344,4601898544.554285,-581678861.6120808,1086717378.9756331,610029215.7107141,-560029215.7107141,2029-05-01,False
71,7.062973656230548,0.9984114382467463,0.7401532030413727,0.9812881491650469,0.9856743780854094,209.1035170273634,4338097699.182112,-489431172.41068566,801565557.2543677,515246740.00116825,-465246740.00116825,2029-11-01,False
72,3.654990828324163,1.1938669771025336,0.7854289624208108,1.1334868067213058,1.0224655128395124,199.03921009228276,5187352015.510509,-838622945.5581948,1032120166.0251458,692983739.3400776,-642983739.3400776,2029-08-01,False
73,7.498993136214145,1.1899133085038098,0.7748025291945597,1.0216015297266468,0.9387180081056311,127.40866822649775,5170173325.449053,-1229092469.0513177,776312403.855562,726932902.6227062,-676932902.6227062,2029-11-01,False
74,8.02725674133219,1.1336416096925515,0.9820650840142042,1.0115683502014403,0.9972128942384525,57.62197476414492,4925672794.114136,404063811.4270431,1131746798.4595823,360653843.7155602,-310653843.7155602,2029-12-01,True
75,3.8939042199053655,1.1526937589802846,1.0315809082457974,1.091198069705709,0.9255734976077882,154.11967171957588,5008454382.769337,77639869.66718984,1260398770.3521433,450609972.54847,-400609972.54847,2029-08-01,True
76,1.5400100286976566,1.2069091798845768,0.9511459418859606,1.015585838170537,0.9331760767706246,54.938047117426095,5244020386.598486,-469040395.21916175,1259987255.9938402,536699573.83621573,-486699573.83621573,2029-06-01,False
77,12.32781733581135,1.098754716964335,0.9661410776341932,1.096039156365848,0.9829950604400369,43.31567542435184,4774089245.210035,144928020.52497458,858486027.6701379,355786927.13960916,-305786927.13960916,2030-04-01,True
78,11.251077210639286,1.0708818263134248,0.9279319305503706,1.1091842090631898,0.989311847367676,272.9249779082214,4652981535.331831,139818549.5756384,871696963.3649126,429416869.2883468,-379416869.2883468,2030-03-01,True
79,2.883155118186194,1.1082313498921976,0.8938441038039809,1.06687466268772,0.9378234096079787,39.6976955800199,4815265215.281598,-405173978.6405399,1114910355.0622892,474361092.2541808,-424361092.2541808,2029-07-01,False
80,3.9461665656368856,1.0714986449847796,0.8989054509604584,1.091091605948784,0.9880613669257365,107.47389760802452,4655661612.458867,60801272.29430902,1173772016.2626295,391275449.8518998,-341275449.8518998,2029-08-01,True
81,4.9021780254842096,1.0542297399404035,0.9297744202256171,1.0422856298483265,0.9208018751877893,108.83616443522473,4580628220.041053,-90035464.34008789,1053111215.1463871,418024448.67876226,-368024448.67876226,2029-09-01,False
82,5.419707144428218,1.0559384647716015,0.926929585602287,1.0826754892733477,0.9940627396242799,162.36964056987208,4588052629.432608,325106456.1400769,1185101765.2802413,372032469.5547381,-322032469.5547381,2029-09-01,True
83,7.024372996851424,1.073584934715925,0.96687231698913,1.0796916404711898,0.9719514999298742,156.61243083927474,4664726541.340693,344825383.2581904,1103613020.367525,379189392.26332456,-329189392.26332456,2029-11-01,True
84,4.539134649675834,1.1090887522867905,0.9563544120093604,1.15953239498563,1.0212093864532121,127.2070299993959,4818990628.686104,426754288.18382335,1273966418.521403,372152499.1144618,-322152499.1144618,2029-09-01,True
85,5.804788963283476,1.17764930210716,0.8733652885840413,1.1437232876219223,0.9770045437504118,33.37507697217498,5116886217.65561,-535875628.4768647,1008307050.7234265,526335175.1239234,-476335175.1239234,2029-10-01,False
86,2.0088086608945233,1.1912851996541034,0.7844707700018734,1.0362298155064773,0.9633210903729441,51.880649347634346,5176134192.497079,-1146973089.6852803,1021611592.372924,695054226.4141134,-645054226.4141134,2029-06-01,False
87,4.199238385323236,1.161267898419423,0.753140257969625,1.1407472176595492,1.0111896179809172,99.45131110663732,5045709018.632393,-976991177.6955278,954547144.6663467,656867790.6962087,-606867790.6962087,2029-08-01,False
88,2.9329715899400646,1.127207819952094,0.8146124049937116,1.0497375911690352,1.0291075707362742,328.7032222710503,4897717977.691849,-354973412.90688765,1156029246.20123,616599248.2971386,-566599248.2971386,2029-07-01,False
89,8.351520982569024,1.0726376029786113,0.9471139247115774,1.1104166786680814,0.9682209670260089,160.49766085511223,4660610384.942066,190731777.1405673,1012159008.3106112,397244338.0333802,-347244338.0333802,2029-12-01,True
90,0.7750794273091434,1.0523555762852004,0.9181832613061737,1.0135104961248649,0.9446193054015681,222.05637591119984,4572484978.959195,-6631163.491450548,1274644529.4090743,442800866.7349272,-392800866.7349272,2029-05-01,False
91,12.766557814773943,1.1177543230047087,0.9789694194761873,1.216512447266638,0.9412207552432666,115.10547329798231,4856642533.455459,-230110791.01832914,743964420.0521022,433934190.85093915,-383934190.85093915,2030-05-01,False
92,4.77829626467369,1.0171490225005149,0.960087393438193,1.060348683715893,0.9750461405422345,45.080904648590774,4419512502.764736,530509549.7672343,1205909337.7750406,302661432.48924893,-252661432.48924893,2029-09-01,True
93,3.183063386885127,1.2166414427745111,0.7777905862167538,1.0276591432945947,0.959200607799028,124.21194504615315,5286307068.855251,-1269130306.0733356,964898375.950421,773260322.1981987,-723260322.1981987,2029-07-01,False
94,6.390947774004402,1.1053158717142815,0.7993210377192254,1.0296717680423362,1.0094744283199693,159.62896766536645,4802597462.598553,-441533935.46072984,965170888.8497672,533936067.7384441,-483936067.7384441,2029-10-01,False
95,6.991495667319482,1.1429369664761353,0.961645758489086,0.9837901803696646,0.966327223816404,135.41375516163174,4966061119.338807,97066256.90936899,1102600778.34176,431449183.9654022,-381449183.9654022,2029-11-01,True
96,4.376274508363492,1.192143705431169,0.9099905882993407,1.1251599921594595,1.0105812598787363,127.46718958847845,5179864400.098429,-187301197.8128239,1231417165.6382868,500645711.65740895,-450645711.65740895,2029-08-01,False
97,10.4415332152722,1.1242640354172377,0.9818411322524171,1.046016490483888,0.9773679746560411,133.53084307564222,4884927233.8878975,236201078.65662777,982333538.5247579,397779753.94674236,-347779753.94674236,2030-02-01,True
98,2.4246368986262565,1.0878956094308165,1.0019257117142912,1.094939452988727,0.9461527787813866,92.58800137661058,4726906422.976897,273622688.2644825,1361404481.0449939,371485815.11211395,-321485815.11211395,2029-06-01,True
99,3.2756325406112317,0.9918242639723491,1.0055976719888229,1.062652368808156,0.9607488343019801,149.6196595366044,4309476426.959857,770676640.6748458,1356206660.6859796,305045928.3986105,-255045928.39861047,2029-07-01,True
100,0.6400074627759239,1.0665049386146634,0.9499262311016599,1.095517741798337,1.0361783665652942,155.1558852975138,4633963958.280712,658265672.7404681,1527490886.783507,339735770.48118335,-289735770.48118335,2029-05-01,True
