capital_stack,description,total_capex_usd,sponsor_equity_usd,project_debt_draw_usd,grant_funding_usd,customer_prepayment_usd,equipment_finance_usd,interest_during_construction_usd,total_debt_service_usd,ending_debt_balance_usd,minimum_dscr,weighted_dscr,dscr_breach_months,minimum_dscr_threshold,incremental_funding_required_usd,minimum_cash_pre_support_usd,estimated_dilution_pct,equity_irr,portfolio_unlevered_npv_usd,total_ebitda_usd,liquidity_rank,dilution_rank,equity_irr_rank,coverage_pass
all_equity,Maximum flexibility with no construction debt,4345000000.0,4345000000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,0,0.0,0.0,142202485.8555,0.6347699050401753,0.19285365943867494,943848325.3866912,1620245819.4141002,1.0,5.0,5.0,True
balanced_corporate,Moderate debt with sponsor equity,4345000000.0,2433200000.0,1911800000.0,0.0,0.0,0.0,45233491.21808714,1304194015.3066306,1038245801.7529992,-0.3394434745979449,0.9484805921242592,77,1.25,197930893.57655865,-147930893.57655865,0.4932295467445066,0.24300123976186994,998339160.8059785,1620245819.4141002,3.0,4.0,4.0,False
government_supported,Grants and equipment finance lower equity burden,4345000000.0,1329569999.9999998,2580930000.0,434500000.0,0.0,521399999.99999994,54435757.24317663,1301421981.3557773,1769293757.705052,-0.34796819411183494,0.9593877961125165,106,1.35,187821396.7678284,-137821396.7678284,0.3471851931156761,0.38594264151661317,1005903099.6911659,1620245819.4141002,2.0,1.0,1.0,False
project_finance,High project leverage with tighter coverage requirements,4345000000.0,1575062500.0,2769937500.0,0.0,0.0,217250000.0,65218818.89902269,1493746991.07922,1903431865.4380662,-0.30084447221459515,0.8527090898055814,117,1.4,261429222.42278838,-211429222.42278838,0.386512476802503,0.3010372879026453,1022895449.917104,1620245819.4141002,5.0,2.0,3.0,False
strategic_customer,Customer prepayment reduces sponsor capital,4345000000.0,1688901499.9999995,2134698500.0,0.0,521399999.99999994,217250000.0,51678273.19892576,1322027707.6912963,1288237587.2784047,-0.3371670517424512,0.9419960403933806,97,1.3,200767149.1058526,-150767149.1058526,0.40318482065047356,0.33974093351507206,1003885348.2747175,1620245819.4141002,4.0,3.0,2.0,False
