scenario,total_capex_usd,total_revenue_usd,total_ebitda_usd,portfolio_unlevered_npv_usd,weighted_unlevered_irr,incremental_funding_required_usd,minimum_cash_pre_support_usd,peak_gpu_online,latest_ready_for_service,total_interest_during_construction_usd,delta_vs_base_total_capex_usd,delta_vs_base_portfolio_unlevered_npv_usd,delta_vs_base_incremental_funding_required_usd,delta_vs_base_total_ebitda_usd
base,4344999999.999999,2521195511.92,1620245819.4141002,1001836562.7349712,0.20159195067560537,247856292.0910914,-197856292.0910914,39000,2029-04-01,47208175.33965872,0.0,0.0,0.0,0.0
downside,4996749999.999999,1618318065.4786558,900864554.0585151,-799341059.0778971,0.04088400502227559,633907519.4879231,-583907519.4879231,39000,2029-10-01,65190477.120778956,651750000.0,-1801177621.812868,386051227.39683175,-719381265.3555851
severe_downside,5561600000.0,986959132.4019094,434663077.8301407,-2221185761.570425,-0.1636796693551498,968839686.3091787,-918839686.3091787,39000,2030-04-01,84756052.70589545,1216600000.000001,-3223022324.305396,720983394.2180873,-1185582741.5839596
upside,4127750000.0,2793833144.0015144,1872624734.5222013,1897167094.870034,0.27144546960547544,178934269.36620247,-128934269.36620247,39000,2029-04-01,41856344.21393325,-217249999.99999905,895330532.1350628,-68922022.72488892,252378915.10810113
