metric,mean,p10,p50,p90,minimum,maximum
total_capex_usd,4842118539.183215,4440819731.186015,4816477676.26247,5297168550.370317,4213370664.159866,5612943624.780607
portfolio_unlevered_npv_usd,-121358216.55743384,-784872536.6155542,-101430163.7878483,534450207.2054847,-1393179926.621659,1305118294.190363
total_ebitda_usd,1072891919.8658845,822546883.8178949,1067340865.841544,1311785863.3374145,603791993.3083746,1589699527.6864965
incremental_funding_required_usd,470162339.78492147,334091036.39098513,444603550.1657974,636496107.676116,261207437.0148902,903738098.5649414
minimum_cash_pre_support_usd,-420162339.7849214,-586496107.676116,-394603550.1657974,-284091036.39098513,-853738098.5649414,-211207437.0148902
probability_npv_positive,0.406,,,,,
