year,energized_gw,signed_us_bookings_low_gw,required_service_low_gw,signed_us_bookings_base_gw,required_service_base_gw,signed_us_bookings_high_gw,required_service_high_gw,gap_vs_base_gw,coverage_ratio
2026,11.287500000000293,45.0,38.0,45.0,38.0,45.0,38.0,-26.712499999999707,0.29703947368421824
2027,16.071000000000293,38.25,42.15,45.0,43.5,51.74999999999999,44.85,-27.428999999999707,0.3694482758620757
2028,20.766097826087133,32.512499999999996,39.1275,45.0,45.0,59.51249999999999,51.277499999999996,-24.233902173912867,0.46146884057971405
2029,25.15509782608713,27.635624999999997,33.258375,45.0,45.0,68.43937499999998,58.96912499999999,-19.84490217391287,0.5590021739130473
2030,27.03234782608696,23.490281249999995,28.269618749999996,45.0,45.0,78.70528124999997,67.81449374999998,-17.96765217391304,0.6007188405797101
2031,28.602847826086958,19.966739062499997,24.029175937499996,45.0,45.0,90.51107343749997,77.98666781249997,-16.397152173913042,0.6356188405797102
2032,28.949347826086957,16.971728203124997,20.424799546874993,45.0,45.0,104.08773445312495,89.68466798437497,-16.050652173913043,0.6433188405797101
2033,28.949347826086957,14.425968972656246,17.361079614843746,45.0,45.0,119.7008946210937,103.13736818203121,-16.050652173913043,0.6433188405797101
