year,energized_gw,uncapped_gw,backlog_start_gw,equipment_backlog_gw,opening_cohort_energized_gw,forecast_cohort_energized_gw,cumulative_energized_gw,topology
2026,11.287500000000293,11.287500000000293,0.0,0.0,11.287500000000293,0.0,11.287500000000293,base
2027,16.071000000000293,16.071000000000293,0.0,0.0,16.071000000000293,0.0,27.358500000000586,base
2028,20.766097826087133,20.90325000000022,1.1102230246251565e-16,0.13715217391308787,20.766097826087133,0.0,48.12459782608772,base
2029,25.15509782608713,25.886250000000217,0.13715217391308787,0.868304347826176,8.368402173911846,16.786695652175283,73.27969565217485,base
2030,27.03234782608696,27.813000000000002,0.868304347826176,1.648956521739219,8.553,18.479347826086958,100.31204347826181,base
2031,28.602847826086958,29.3835,1.648956521739219,2.429608695652262,1.9634999999999998,26.639347826086958,128.91489130434877,base
2032,28.949347826086957,29.73,2.429608695652262,3.210260869565305,0.0,28.949347826086957,157.86423913043572,base
2033,28.949347826086957,29.73,3.210260869565305,3.990913043478348,0.0,28.949347826086957,186.81358695652267,base
2026,11.947500000000232,11.947500000000232,0.0,0.0,11.947500000000232,0.0,11.947500000000232,alternative-btm
2027,16.54434782608719,16.582500000000234,0.0,0.038152173913043264,16.54434782608719,0.0,28.491847826087422,alternative-btm
2028,20.766097826087133,21.398250000000175,0.038152173913043375,0.6703043478260859,18.466402173913217,2.299695652173914,49.257945652174556,alternative-btm
2029,25.15509782608713,25.935750000000176,0.6703043478260859,1.450956521739129,7.950749999999013,17.204347826088117,74.41304347826168,alternative-btm
2030,27.03234782608696,27.813000000000002,1.4509565217391287,2.231608695652172,8.553,18.479347826086958,101.44539130434865,alternative-btm
2031,28.602847826086958,29.3835,2.2316086956521715,3.012260869565214,1.9634999999999998,26.639347826086958,130.0482391304356,alternative-btm
2032,28.949347826086957,29.73,3.012260869565214,3.792913043478257,0.0,28.949347826086957,158.99758695652255,alternative-btm
2033,28.949347826086957,29.73,3.792913043478257,4.5735652173913,0.0,28.949347826086957,187.9469347826095,alternative-btm
