year,merchant_requested_service_gw,total_energized_gw,merchant_energized_gw,ready_for_occupancy_additions_gw,demand_backlog_start_gw,available_ready_start_gw,occupied_additions_gw,deferred_gw,available_ready_end_gw,energized_not_ready_gw,coverage,cumulative_occupied_gw,annualized_revenue_opportunity_usd_bn
2026,4.809333333333333,11.287500000000293,5.079375000000132,2.539687500000066,0.0,0.0,2.539687500000066,2.269645833333267,0.0,2.539687500000066,0.5280747504851815,2.539687500000066,21.58734375000056
2027,5.903541666666667,16.071000000000293,7.231950000000132,6.1556625000001315,2.269645833333267,0.0,6.1556625000001315,2.017524999999802,0.0,3.6159750000000663,0.7531532220446652,8.695350000000197,73.91047500000167
2028,6.502173333333334,20.766097826087133,9.34474402173921,8.288347010869671,2.017524999999802,0.0,8.288347010869671,0.23135132246346402,0.0,4.672372010869605,0.9728451274432679,16.983697010869868,144.3614245923939
2029,7.161495916666668,25.15509782608713,11.319794021739208,10.332269021739208,0.23135132246346402,0.0,7.392847239130132,0.0,2.9394217826090756,5.6598970108696065,1.0,24.376544250000002,207.200626125
2030,7.887661283333336,27.03234782608696,12.164556521739131,11.74217527173917,0.0,2.9394217826090756,7.887661283333336,0.0,6.793935771014909,6.082278260869565,1.0,32.26420553333334,274.2457470333334
2031,8.68744476416667,28.602847826086958,12.871281521739132,12.517919021739132,0.0,6.793935771014909,8.68744476416667,0.0,10.62441002858737,6.435640760869568,1.0,40.95165029750001,348.0890275287501
2032,9.568308328333337,28.949347826086957,13.027206521739132,12.949244021739132,0.0,10.62441002858737,9.568308328333337,0.0,14.005345721993166,6.513603260869573,1.0,50.51995862583335,429.4196483195835
2033,10.538470157691673,28.949347826086957,13.027206521739132,13.027206521739132,0.0,14.005345721993166,10.538470157691673,0.0,16.494082086040624,6.513603260869573,1.0,61.05842878352502,518.9966446599626
